Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728360985240,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,32.432430267333984,32.432430267333984,32.432430267333984,30.55555534362793,34.21052551269531,32.432430267333984,32.432430267333984,32.432430267333984,33.333335876464844,43.24324417114258,30.55555534362793,32.432430267333984,32.432430267333984,34.21052551269531,30.55555534362793,31.428571701049805,32.432430267333984,63.15789031982422,32.432430267333984,31.428571701049805,32.432430267333984,32.432430267333984,32.432430267333984,32.432430267333984,32.432430267333984,35.135135650634766,30.55555534362793,32.432430267333984,34.21052551269531,32.432430267333984,32.432430267333984,32.432430267333984,158789.65563964844,258280.81475830078,0,404335505408,8589930496,10063204352,0
999,1728360985240,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,32.432430267333984,32.432430267333984,32.432430267333984,30.55555534362793,34.21052551269531,32.432430267333984,32.432430267333984,32.432430267333984,33.333335876464844,43.24324417114258,30.55555534362793,32.432430267333984,32.432430267333984,34.21052551269531,30.55555534362793,31.428571701049805,32.432430267333984,63.15789031982422,32.432430267333984,31.428571701049805,32.432430267333984,32.432430267333984,32.432430267333984,32.432430267333984,32.432430267333984,35.135135650634766,30.55555534362793,32.432430267333984,34.21052551269531,32.432430267333984,32.432430267333984,32.432430267333984,158789.65563964844,258280.81475830078,0,404335505408,8589930496,10063376384,0
999,1728360986240,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,30.30303192138672,29.29292869567871,100,16,26.26262664794922,15.15151596069336,26.26262664794922,17,27.272727966308594,28,22.77227783203125,28.571430206298828,29,21,28.571430206298828,30.000001907348633,26.26262664794922,23.232322692871094,28,27.000001907348633,100,28.282827377319336,30.612245559692383,28.282827377319336,27.000001907348633,28.282827377319336,57.57575607299805,31.313129425048828,28.571430206298828,28,67.32672882080078,100,158805.87982177734,258315.77569580078,0,404335505408,8589930496,10266386432,0
999,1728360987240,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,158827.55590820313,258350.14184570313,0,404335505408,8589930496,10290712576,0
999,1728360988240,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,158849.28063964844,258384.4838256836,0,404335505408,8589930496,10291007488,0
999,1728360989240,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,1,1.0101009607315063,100,0,0,0,0,0,0,0,1.0101009607315063,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,158870.94610595703,258418.8858642578,0,404335505408,8589930496,10291056640,0
996,1728360990244,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,0,0,100,0,0,0,0,0,0.9900990128517151,0,0.9803922176361084,0,0,0,0,0,0,0,0.9900990128517151,0,100,0,0,0,0,0,100,0,0,0,1,100,158892.66131591797,258453.34552001953,0,404335505408,8589930496,10291490816,0
999,1728360991241,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,158914.0711669922,258487.5601196289,0,404335505408,8589930496,10291826688,0
999,1728360992241,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,158935.3526611328,258521.86529541016,0,404335505408,8589930496,10292162560,0
999,1728360993241,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0.9900990128517151,100,158956.97637939453,258556.23260498047,0,404335505408,8589930496,10292678656,0
999,1728360994241,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.9900990128517151,0,0,100,0,0,0,0,100,158978.45629882813,258590.5444946289,0,404335505408,8589930496,10292985856,0
999,1728360995241,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,23.469388961791992,11.88118839263916,72.27722930908203,53.46534729003906,2.0202019214630127,1.9801980257034302,0,0,1.9801980257034302,10.891088485717773,0,0.9900990128517151,0,62.626258850097656,19.80198097229004,0.9900990128517151,2.97029709815979,0,84.15841674804688,2,13,0.9900990128517151,0.9900990128517151,5.0505051612854,23,18.81188201904297,13.8613862991333,3.9603960514068604,22.22222328186035,2.97029709815979,3.9603960514068604,13,158999.49865722656,258626.27209472656,0,404335505408,8589930496,10301128704,0
999,1728360996241,1017,1082,1761,865,1130,1525,1117,1225,1299,1081,1942,1347,1892,944,889,854,1095,1483,949,1728,900,908,1110,804,1177,1076,945,855,860,1107,1431,917,2,1.0101009607315063,0,2.0202019214630127,1.9801980257034302,1,0,0,3.0612244606018066,1,0,0,5,99,2.97029709815979,1,1,0,0,100,1,0,20,1,100,1,1.0101009607315063,1,19.80198097229004,1,77,0,159020.99865722656,258661.43884277344,0,404335505408,8589930496,10327953408,0
