Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728624267576,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,2.3809523582458496,2.2727272510528564,2.3255813121795654,2.3255813121795654,4.545454502105713,2.3255813121795654,2.3255813121795654,8.88888931274414,2.2727272510528564,2.2727272510528564,2.3255813121795654,4.545454502105713,2.3255813121795654,2.3255813121795654,4.545454502105713,2.2727272510528564,0,4.545454502105713,2.2727272510528564,2.3255813121795654,2.3255813121795654,4.545454502105713,0,2.3255813121795654,4.545454502105713,2.3809523582458496,6.818181991577148,2.2727272510528564,0,2.2727272510528564,0,2.3255813121795654,106370.19305419922,113046.3461303711,0,404335505408,8589930496,16209260544,0
999,1728624267577,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,2.3809523582458496,2.2727272510528564,2.3255813121795654,2.3255813121795654,4.545454502105713,2.3255813121795654,2.3255813121795654,8.88888931274414,2.2727272510528564,2.2727272510528564,2.3255813121795654,4.545454502105713,2.3255813121795654,2.3255813121795654,4.545454502105713,2.2727272510528564,0,4.545454502105713,2.2727272510528564,2.3255813121795654,2.3255813121795654,4.545454502105713,0,2.3255813121795654,4.545454502105713,2.3809523582458496,6.818181991577148,2.2727272510528564,0,2.2727272510528564,0,2.3255813121795654,106370.2025756836,113046.36840820313,0,404335505408,8589930496,16209367040,0
1000,1728624268577,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,13.333333969116211,13.461539268493652,13.592232704162598,13.461539268493652,13.592232704162598,12.621359825134277,13.461539268493652,12.745099067687988,11.764705657958984,11.764705657958984,96.15384674072266,12.5,11.65048599243164,12.5,13.461539268493652,13.461539268493652,13.333333969116211,13.72549057006836,12.621359825134277,12.621359825134277,13.592232704162598,12.621359825134277,12.621359825134277,12.5,12.5,12.5,12.5,13.461539268493652,12.5,13.592232704162598,12.5,12.745099067687988,106389.51177978516,113079.75280761719,0,404335505408,8589930496,16268476416,0
999,1728624269577,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,1,0,1,0,1.0101009607315063,1,0,2,2,0,100,0,0.9900990128517151,1.9801980257034302,1,0,0,2,0,1,4,0,1.9801980257034302,1,0,1.0101009607315063,1,0,1,1,0.9900990128517151,1,106410.8422241211,113112.99615478516,0,404335505408,8589930496,16272650240,0
999,1728624270577,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,0,1.9607844352722168,0,0,1.0101009607315063,0,0,0,0,0,100,0,0,0,0,1,1.9801980257034302,2,2.941176414489746,1.0101009607315063,0,0,1,1,1,2,0,1.0101009607315063,0,0,0,1.0101009607315063,106432.13781738281,113146.23205566406,0,404335505408,8589930496,16272691200,0
999,1728624271577,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,0,0,0,0,0,0,1.0101009607315063,2.0202019214630127,1,0,100,0,0,0,2.97029709815979,0.9900990128517151,0,1.0101009607315063,2.0202019214630127,0,1.0101009607315063,0,1.0101009607315063,0,0,1.0101009607315063,0,1,0.9900990128517151,0,0,2.0202019214630127,106453.66796875,113179.541015625,0,404335505408,8589930496,16273801216,0
999,1728624272578,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,1,1,0,0,0,0,0,1.0101009607315063,0.9900990128517151,0.9900990128517151,0,0,100,0,0,0,0,0,1.9801980257034302,0,3,0,1.0101009607315063,0.9900990128517151,2.941176414489746,1,0,0,0,0,0.9900990128517151,2,106475.05749511719,113212.64764404297,0,404335505408,8589930496,16273842176,0
999,1728624273578,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,1,1.0101009607315063,1.0101009607315063,0.9900990128517151,0,0,0,1.0101009607315063,1,1,0,1,100,1,0,1,0,3,1,1.9801980257034302,1.9801980257034302,2.97029709815979,2.97029709815979,1.0101009607315063,0,1,0,1.0101009607315063,0,1,1.0101009607315063,1,106496.51776123047,113245.84399414063,0,404335505408,8589930496,16274018304,0
999,1728624274578,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,0,0,1.9801980257034302,0,0.9900990128517151,0,3.0612244606018066,0,0,0,0,0,100,0,0,0,2.91262149810791,1.0101009607315063,0,1.0101009607315063,1.0101009607315063,1,1.9801980257034302,1,1.9801980257034302,0.9900990128517151,0,0,0,1.0101009607315063,0,0,106517.75500488281,113279.0952758789,0,404335505408,8589930496,16274132992,0
999,1728624275578,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,0,0,1.0309277772903442,0.9900990128517151,0,0,1,2.0202019214630127,0,0,0,0,100,0,0.9900990128517151,1.9801980257034302,0,1.0204081535339355,1,1,1,1.0101009607315063,0,0,0,0,0,0,0,0,0,0,106539.1264038086,113312.39697265625,0,404335505408,8589930496,16274329600,0
999,1728624276578,801,819,900,912,900,895,938,992,800,809,800,799,800,853,868,800,827,933,888,940,1357,1307,898,800,893,805,858,890,800,885,889,1029,0,0,0,0,2.0202019214630127,0,3,0,0,0,0,1,100,0,0,0,1,1.9801980257034302,1,0,0,0,1,0,1,0,0,0,0,1,0,0,106560.486328125,113345.61511230469,0,404335505408,8589930496,16274456576,0
