Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728605100235,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,9.090909004211426,0,4.761904716491699,0,4.545454502105713,8.69565200805664,4.761904716491699,4.761904716491699,4.761904716491699,9.090909004211426,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.545454502105713,0,4.545454502105713,4.545454502105713,4.761904716491699,4.761904716491699,4.761904716491699,9.090909004211426,4.761904716491699,4.761904716491699,0,0,4.545454502105713,179684.57849121094,18254.679748535156,0,404335505408,8589930496,16339365888,0
999,1728605100235,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,9.090909004211426,0,4.761904716491699,0,4.545454502105713,8.69565200805664,4.761904716491699,4.761904716491699,4.761904716491699,9.090909004211426,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.545454502105713,0,4.545454502105713,4.545454502105713,4.761904716491699,4.761904716491699,4.761904716491699,9.090909004211426,4.761904716491699,4.761904716491699,0,0,4.545454502105713,179684.5892944336,18254.700927734375,0,404335505408,8589930496,16339435520,0
999,1728605101235,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,12.621359825134277,12.5,12.621359825134277,12.621359825134277,12.621359825134277,97.0873794555664,12.5,11.65048599243164,12.5,11.65048599243164,12.5,13.333333969116211,15.238096237182617,13.461539268493652,12.5,13.333333969116211,15.384615898132324,12.5,12.5,12.5,12.5,12.621359825134277,13.333333969116211,13.592232704162598,12.5,12.5,12.621359825134277,15.238096237182617,11.65048599243164,15.238096237182617,12.5,12.621359825134277,179694.1173095703,18282.309143066406,0,404335505408,8589930496,16398704640,0
999,1728605102236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,1.0101009607315063,1.0101009607315063,1,0,0,100,0,0,1.0101009607315063,1.0101009607315063,1.9607844352722168,0,0,0,2,0,1.0101009607315063,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,179703.76141357422,18308.0517578125,0,404335505408,8589930496,16403136512,0
1000,1728605103236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,2.97029709815979,0,0,1.9801980257034302,1,100,0.9900990128517151,0,2.941176414489746,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9801980257034302,1,1.0204081535339355,0,0,179713.14782714844,18333.79833984375,0,404335505408,8589930496,16403345408,0
999,1728605104236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,3.0303030014038086,4,0,0,1,100,0,0,0,2.040816307067871,2.0202019214630127,1,0,0,0.9900990128517151,0.9900990128517151,3,0,0,0,0,0,0,1.0101009607315063,0,0,5,3.0303030014038086,3.9603960514068604,0,6,0,179722.81561279297,18359.87530517578,0,404335505408,8589930496,16403615744,0
999,1728605105236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,1.0204081535339355,2,1,1,1,100,0,1.9607844352722168,0,2.97029709815979,0,2,1.0204081535339355,0,1.0101009607315063,1,1.9801980257034302,0,1.0101009607315063,0,0.9900990128517151,1,0,0,0.9900990128517151,0.9900990128517151,3,1.9801980257034302,2.0202019214630127,0,1.0101009607315063,1,179732.546875,18385.37109375,0,404335505408,8589930496,16404828160,0
999,1728605106236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,3,0,0,1.0204081535339355,1.0101009607315063,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9900990128517151,0,1.0101009607315063,0,0,0,179742.13543701172,18410.665893554688,0,404335505408,8589930496,16404897792,0
999,1728605107236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,3.0303030014038086,0,1.0101009607315063,1,0,100,0,1,0,1.9801980257034302,1.9801980257034302,0.9900990128517151,2.0202019214630127,0,0,0,0,0,0,0,2,0,0,3.9215688705444336,0,0,0,1,0,0,3,2.97029709815979,179751.8021850586,18436.13330078125,0,404335505408,8589930496,16405843968,0
999,1728605108236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,0,0,0,0,0,100,2,0,0,0,1,0,0.9900990128517151,0,1,0,0,0,0,0,0,0,0,0,0,0,1.9801980257034302,1,0,2,1.9801980257034302,1,179761.38775634766,18461.452392578125,0,404335505408,8589930496,16405962752,0
999,1728605109237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,2,1,1,2,0,100,1.9801980257034302,3,2.941176414489746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0101009607315063,179771.0693359375,18486.900939941406,0,404335505408,8589930496,16406151168,0
999,1728605110236,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,1,0,3,0,0,88,7.070706844329834,8.08080768585205,0,1,1.0101009607315063,0,0,0.9900990128517151,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,1.0101009607315063,179780.74084472656,18512.0341796875,0,404335505408,8589930496,16450859008,0
999,1728605111237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,3,1,2,3,0,28,70.29703521728516,58,0,0,1,0,0,0,0,0,0,0,0,0,2.97029709815979,0,0,0,0,0,0,0,1,0,0,3,179790.2894897461,18537.392822265625,0,404335505408,8589930496,16409153536,0
999,1728605112237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,26,23.232322692871094,22.22222328186035,22.448978424072266,25.74257469177246,87.8787841796875,14.285715103149414,17.346939086914063,24.24242401123047,23.76237678527832,24,21.782176971435547,22.77227783203125,17,18,27.000001907348633,26,27.7227725982666,20.2020206451416,24.24242401123047,20.2020206451416,23,13.8613862991333,24,22.22222328186035,16.1616153717041,23,26.73267364501953,23.232322692871094,23.76237678527832,25,22.22222328186035,179802.68200683594,18570.878479003906,0,404335505408,8589930496,16439566336,0
999,1728605113237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,93.93939208984375,95,95,97,96,96,95.9595947265625,95,95,90.90909576416016,92.92929077148438,91.919189453125,94.94949340820313,94.89796447753906,96.96969604492188,99,95,93,94.05941009521484,92,97.97979736328125,95.9595947265625,95.9595947265625,95,90,89,95,94,94,95.9595947265625,95.9595947265625,92.07920837402344,179828.01666259766,18632.51983642578,0,404335505408,8589930496,17504092160,0
999,1728605114237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,179852.98907470703,18696.181701660156,0,404335505408,8589930496,17505697792,0
999,1728605115237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,179877.41564941406,18759.758544921875,0,404335505408,8589930496,17508618240,0
999,1728605116237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,179902.2227783203,18823.235595703125,0,404335505408,8589930496,17510076416,0
999,1728605117237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,100,100,100,100,100,100,100,100,100,100,99.00990295410156,100,100,99,100,100,100,100,99.00990295410156,100,100,100,100,99,100,100,98.9795913696289,98,99.00990295410156,179928.06658935547,18886.20751953125,0,404335505408,8589930496,17437532160,0
999,1728605118237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.96969604492188,100,100,100,100,100,100,100,100,99,179954.1587524414,18949.5810546875,0,404335505408,8589930496,17527955456,0
999,1728605119237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,179980.3555908203,19013.643188476563,0,404335505408,8589930496,17532702720,0
999,1728605120237,902,1417,800,855,818,953,946,800,1004,864,881,907,852,995,1098,856,799,853,858,810,840,828,802,862,957,800,935,1099,821,800,852,840,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,180006.4888305664,19077.860961914063,0,404335505408,8589930496,17536061440,0
