Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728542076038,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,4.545454502105713,0,0,0,0,0,4.545454502105713,0,0,4.545454502105713,9.523809432983398,0,0,0,0,0,0,0,0,4.545454502105713,9.523809432983398,0,0,0,0,0,0,0,0,0,4.545454502105713,0,229613.94342041016,183933.27081298828,0,404335505408,0,18049978368,0
999,1728542076038,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,4.545454502105713,0,0,0,0,0,4.545454502105713,0,0,4.545454502105713,9.523809432983398,0,0,0,0,0,0,0,0,4.545454502105713,9.523809432983398,0,0,0,0,0,0,0,0,0,4.545454502105713,0,229613.95404052734,183933.2944946289,0,404335505408,0,18050486272,0
999,1728542077039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,26.73267364501953,24,39,24,21,25.25252342224121,38,28.282827377319336,21,21.782176971435547,36.633663177490234,84,84.8484878540039,29.29292869567871,21.568628311157227,21.782176971435547,22.22222328186035,24.24242401123047,20,39,30.000001907348633,23.232322692871094,71.71717071533203,31,89,26.73267364501953,24,25.74257469177246,21,39.2156867980957,25,39.39393997192383,229632.86743164063,183971.87927246094,0,404335505408,0,18303586304,0
999,1728542078039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,1.0204081535339355,0,10.1010103225708,3.0303030014038086,1.0101009607315063,1.0101009607315063,1.0101009607315063,6.93069314956665,2,12.121212005615234,23.232322692871094,42,77,2,1.0101009607315063,0,2,1.0101009607315063,2,2,2,3.0303030014038086,100,58.58585739135742,100,1.0204081535339355,1.0101009607315063,0,2,7.070706844329834,3.0303030014038086,2.0202019214630127,229654.48712158203,184011.13299560547,0,404335505408,0,18334994432,0
999,1728542079039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,3.0303030014038086,3.0303030014038086,5.94059419631958,10,5.94059419631958,82,31.313129425048828,3.0303030014038086,10.1010103225708,2.0202019214630127,1.9801980257034302,53.46534729003906,100,12,2,2,4,4.95049524307251,2.0202019214630127,6.060606002807617,4.95049524307251,4,19,48.51485061645508,73,9.90099048614502,2,2.0202019214630127,0,28,10,7.070706844329834,229676.33099365234,184050.58666992188,0,404335505408,0,18319015936,0
999,1728542080039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,1.0101009607315063,1.9801980257034302,1,5,1.0101009607315063,100,100,1,1.0101009607315063,0,1.0101009607315063,13,100,3,1,0,1.0101009607315063,1.0101009607315063,0,3,4,2.0202019214630127,0.9900990128517151,98.98989868164063,1,0,1,2,2,14.141413688659668,1.0101009607315063,0,229697.83087158203,184089.7947998047,0,404335505408,0,18319273984,0
991,1728542081047,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,29,3,2.0202019214630127,3,5.94059419631958,100,30.39215850830078,8.08080768585205,5.94059419631958,5,1.9801980257034302,30.693069458007813,100,1.9801980257034302,2.97029709815979,2.941176414489746,3,6,8.823529243469238,5,2.97029709815979,3.9603960514068604,2,71.2871322631836,72.27722930908203,9.183673858642578,2.97029709815979,15.000000953674316,3,11.88118839263916,4,5.882352828979492,229719.69177246094,184129.74920654297,0,404335505408,0,18319474688,0
999,1728542082039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,7.142857551574707,0,2.0202019214630127,0,0,100,0,3.0303030014038086,0,0,28.282827377319336,100,71.71717071533203,0,1.0101009607315063,0,3.0303030014038086,1.0204081535339355,1.0101009607315063,2.97029709815979,1.0101009607315063,2.0202019214630127,0,0,100,4,0,0,2,4.040403842926025,1.0309277772903442,14.141413688659668,229741.1805419922,184168.51440429688,0,404335505408,0,18319634432,0
999,1728542083039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,12.244897842407227,5.102040767669678,2.97029709815979,3,5.0505051612854,100,15.000000953674316,3,6.86274528503418,2.0202019214630127,69,100,33,3,6.122448921203613,5,2.0202019214630127,34.693878173828125,2.040816307067871,7.142857551574707,3.0303030014038086,10.784314155578613,2,2,86.13861083984375,3.0303030014038086,10.1010103225708,2.040816307067871,2.040816307067871,3,4.95049524307251,4,229763.01873779297,184207.76232910156,0,404335505408,0,18323017728,0
999,1728542084039,1865,1039,991,2093,1451,1799,1262,1815,1840,1046,1111,1240,1150,1361,1051,1030,1222,1430,1020,1055,1943,1410,1133,1215,1366,1534,1199,1066,1009,1257,1562,1047,6.060606002807617,2.0202019214630127,2.0202019214630127,1.0101009607315063,3.0303030014038086,100,100,4,1.0204081535339355,0,0,97,100,1.0309277772903442,4.040403842926025,2,3.0303030014038086,18.81188201904297,2.0202019214630127,4.040403842926025,2.0202019214630127,1.0101009607315063,1,6,1.0101009607315063,5.94059419631958,2.0202019214630127,3,1.0101009607315063,0,7.070706844329834,1.0204081535339355,229784.66229248047,184246.55517578125,0,404335505408,0,18323513344,0
