Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728663547242,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,0,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,0,4.545454502105713,4.761904716491699,5,4.761904716491699,4.761904716491699,0,0,4.545454502105713,9.090909004211426,4.761904716491699,0,0,0,0,4.761904716491699,0,248326.67211914063,89445.82238769531,0,404335505408,8589930496,17021374464,0
999,1728663547243,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,0,4.761904716491699,0,0,0,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,0,4.545454502105713,4.761904716491699,5,4.761904716491699,4.761904716491699,0,0,4.545454502105713,9.090909004211426,4.761904716491699,0,0,0,0,4.761904716491699,0,248326.6821899414,89445.84399414063,0,404335505408,8589930496,17021456384,0
999,1728663548243,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,12.5,12.380952835083008,14.423076629638672,11.65048599243164,12.5,12.745099067687988,11.65048599243164,12.621359825134277,11.65048599243164,11.65048599243164,12.5,12.380952835083008,12.5,12.621359825134277,84.76190185546875,11.65048599243164,12.5,13.461539268493652,13.592232704162598,12.5,12.5,12.5,12.5,11.65048599243164,12.621359825134277,12.5,13.333333969116211,23.809524536132813,11.65048599243164,13.333333969116211,12.621359825134277,13.461539268493652,248345.94720458984,89478.79595947266,0,404335505408,8589930496,17081491456,0
999,1728663549243,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,0,0,0,1.0101009607315063,0,1.0101009607315063,0,0,0,0,0,1,0.9900990128517151,0,100,0,0,4,2,0,0,1,0,0,2,1,0,0,0,0,1,0,248367.74493408203,89512.13372802734,0,404335505408,8589930496,17086353408,0
999,1728663550243,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,1,0,1.0101009607315063,0,1,1,1.0101009607315063,1,0,1.0101009607315063,2,0,0,0.9900990128517151,100,0,1.0101009607315063,1,0,1.0101009607315063,0,0.9900990128517151,0,1.0101009607315063,0,0,0,0,0.9900990128517151,0,3.0303030014038086,2.0202019214630127,248389.5650024414,89545.41705322266,0,404335505408,8589930496,17086681088,0
999,1728663551243,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,1,0,3,2.0202019214630127,1.0101009607315063,1.0101009607315063,2.97029709815979,0.9900990128517151,0,0.9900990128517151,0,0,0,0,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0202019214630127,1.0204081535339355,248411.35162353516,89578.6728515625,0,404335505408,8589930496,17086816256,0
999,1728663552243,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,0,0,1.0101009607315063,4,1.0101009607315063,1.9801980257034302,2.0202019214630127,1.0101009607315063,0,0,0,0,0,0,100,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1.0101009607315063,248433.03552246094,89611.88269042969,0,404335505408,8589930496,17088872448,0
992,1728663553250,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,0,0,1.9801980257034302,0,0.9900990128517151,1.9801980257034302,1.0101009607315063,1,0,0,0,0,0.9900990128517151,0,100,0,0,0,1,0,0,0,0,1,0,0,0,0,0.9803922176361084,0,0,1,248454.64361572266,89645.35375976563,0,404335505408,8589930496,17089372160,0
999,1728663554244,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,1.0101009607315063,0,3.9603960514068604,0,1.0101009607315063,2.97029709815979,1.0101009607315063,0,0,0,0,0,3.0303030014038086,1.0101009607315063,48,0,0,1,0,0,1.0101009607315063,1,0,0,0,0,1,52.52525329589844,0,0,1.0204081535339355,1.0101009607315063,248476.0213623047,89678.34893798828,0,404335505408,8589930496,17090723840,0
999,1728663555244,823,800,1569,933,945,941,879,969,1105,800,800,827,800,800,800,800,799,940,891,816,954,841,869,837,885,881,800,800,799,799,914,927,2.0202019214630127,4,0,2.97029709815979,1.0101009607315063,1,2,1,1.9801980257034302,1.0101009607315063,1,1,1.0204081535339355,4,0,2,1,1,0,1,1.9801980257034302,5,1,3,0,1,2.0202019214630127,100,1.0204081535339355,1.9801980257034302,1,0,248497.89324951172,89711.51165771484,0,404335505408,8589930496,17091137536,0
