Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728582122176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,0,4.761904716491699,4.545454502105713,4.761904716491699,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,5,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,0,149976.41088867188,227858.08178710938,0,404335505408,8589930496,16219443200,0
999,1728582122176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,0,4.761904716491699,4.545454502105713,4.761904716491699,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,5,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,0,149976.42059326172,227858.1043701172,0,404335505408,8589930496,16219549696,0
1000,1728582123176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,12.5,13.461539268493652,11.65048599243164,11.65048599243164,12.5,12.5,12.621359825134277,11.65048599243164,13.461539268493652,12.5,12.621359825134277,12.5,14.423076629638672,14.705883026123047,13.592232704162598,13.461539268493652,12.621359825134277,12.5,12.5,12.380952835083008,13.461539268493652,13.461539268493652,13.461539268493652,12.5,12.621359825134277,96.15384674072266,13.461539268493652,12.621359825134277,12.5,13.592232704162598,13.461539268493652,12.5,149985.82678222656,227885.3062133789,0,404335505408,8589930496,16278568960,0
999,1728582124176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,0,0,0,1,0.9900990128517151,0,1,0,0,0,0,0,2,1.0101009607315063,2.0202019214630127,1.0204081535339355,0,0,0,1,0,1,2,1,1.0101009607315063,100,2.97029709815979,1,0,0,1.0101009607315063,0,149995.12176513672,227910.94213867188,0,404335505408,8589930496,16283525120,0
999,1728582125176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,2,0,0.9900990128517151,0,1.0204081535339355,0.9900990128517151,0,0,1,0,0,0,0,0,0,2.97029709815979,0,0,0,0,0,0,0,0.9900990128517151,2,100,0,0.9900990128517151,1,1,0.9900990128517151,0,150004.48669433594,227936.51470947266,0,404335505408,8589930496,16283602944,0
999,1728582126176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,0,1,0,1,2.0202019214630127,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0.9900990128517151,0,1.9801980257034302,100,0,0,0,1,0,0,150013.89093017578,227961.9481201172,0,404335505408,8589930496,16283787264,0
999,1728582127176,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,1,2,0,0,0,0,0,0,0,0,0,0.9900990128517151,0.9900990128517151,0,1.0101009607315063,2,1,1,1.0204081535339355,0,0,0,1.0101009607315063,0,0,100,0,1,1,0,2,0,150023.16845703125,227987.47717285156,0,404335505408,8589930496,16283865088,0
999,1728582128177,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,0,0,0,1,1,0,0.9900990128517151,1,0,0,0,0,0,3,0,2,1,0,0,0,2.0202019214630127,0,1,0,0,100,0.9900990128517151,0,0,0,0,0,150032.39916992188,228012.76794433594,0,404335505408,8589930496,16284024832,0
999,1728582129177,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,1.0101009607315063,0,1,0,3,0,0,0,0,0,0,0,1,0,0.9900990128517151,3,1.9801980257034302,0,0,0,0,1.9801980257034302,0,0,0,100,1,0,0,0,2,0,150041.7081298828,228038.4129638672,0,404335505408,8589930496,16284205056,0
999,1728582130177,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,1,1.9801980257034302,0,0.9900990128517151,2,0,1.9607844352722168,0,0,0,0,0,0,0,0,1.0101009607315063,0,0,0,0,0,3,0,0,0,100,1,0,1,0,0,0.9900990128517151,150050.8702392578,228063.75201416016,0,404335505408,8589930496,16284422144,0
999,1728582131177,822,799,800,813,800,800,800,806,856,830,800,921,801,853,800,800,841,800,800,799,800,806,800,827,800,809,935,800,1870,807,800,800,0,0,0,0,0,0,0,0,2,0,0,0,1,0.9900990128517151,0,1.9801980257034302,0,3,1,0.9900990128517151,0,1,1,0,2,100,0,0,0,1,1.0101009607315063,0,150060.15325927734,228089.10681152344,0,404335505408,8589930496,16283766784,0
