Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728618899653,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,4,0,0,4,0,4.1666669845581055,0,0,0,0,4.1666669845581055,8,4.1666669845581055,4.1666669845581055,4.1666669845581055,0,0,4,0,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4,4,4,0,8.69565200805664,8,4.1666669845581055,0,0,247579.47521972656,63963.397399902344,0,404335505408,8589930496,16193507328,0
999,1728618899653,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,4,0,0,4,0,4.1666669845581055,0,0,0,0,4.1666669845581055,8,4.1666669845581055,4.1666669845581055,4.1666669845581055,0,0,4,0,4.1666669845581055,4.1666669845581055,0,4.1666669845581055,4,4,4,0,8.69565200805664,8,4.1666669845581055,0,0,247579.4891357422,63963.42004394531,0,404335505408,8589930496,16193748992,0
999,1728618900654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,12.621359825134277,11.764705657958984,13.207547187805176,11.538461685180664,12.621359825134277,15.384615898132324,12.5,12.5,12.621359825134277,12.5,12.5,12.5,11.65048599243164,12.5,12.745099067687988,13.592232704162598,12.5,12.5,96.15384674072266,12.5,12.621359825134277,13.207547187805176,13.592232704162598,12.5,12.621359825134277,11.65048599243164,13.333333969116211,14.285715103149414,13.461539268493652,12.621359825134277,11.65048599243164,13.207547187805176,247588.70751953125,63990.43328857422,0,404335505408,8589930496,16252694528,0
999,1728618901654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,0,0,0,0,1.9801980257034302,0,0,0,0,0,0,0,0,1,1,2,1,0,100,0.9900990128517151,1.0101009607315063,0,2,0.9900990128517151,0.9900990128517151,2.97029709815979,0,0,0,0,1,0,247597.69848632813,64015.82568359375,0,404335505408,8589930496,16257662976,0
1000,1728618902654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,1,1,0,1,0,0,0,0,0,0.9900990128517151,0,1,1.9801980257034302,0,1,1.0101009607315063,2,0,100,0,0,0,0,0,2,0,0,0,0,1,0,0,247606.78259277344,64041.281311035156,0,404335505408,8589930496,16257695744,0
999,1728618903654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,1.0101009607315063,2.0202019214630127,0,2.0202019214630127,0,0,0.9900990128517151,1.9801980257034302,3,0,0.9900990128517151,1,1.9801980257034302,2,1.0101009607315063,2,1.0101009607315063,0,100,0.9900990128517151,0,0,0,1.0101009607315063,0,2,0,0,0,1.0101009607315063,1.0101009607315063,0,247615.91229248047,64066.94122314453,0,404335505408,8589930496,16258363392,0
999,1728618904654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,1.0101009607315063,0,0,1.9801980257034302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,1.0204081535339355,0,2,0,0,0,1.9801980257034302,0,247624.95361328125,64092.32336425781,0,404335505408,8589930496,16258367488,0
999,1728618905654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,0,0,0,1.0101009607315063,2,0,0,0,1.0101009607315063,0,0,0,0,0,0,1,1,0,100,0,0,0,2,1.9801980257034302,2,0,0,0,0,0.9900990128517151,0,0,247634.18157958984,64117.722106933594,0,404335505408,8589930496,16258527232,0
999,1728618906654,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,0,1,0.9900990128517151,0,1,0,0,0,1,0.9900990128517151,0,0,0,0,0.9900990128517151,0,0,0,100,1.9607844352722168,0,0,2,0,0,1.0101009607315063,0,0,0,0,0,0,247643.50762939453,64142.95574951172,0,404335505408,8589930496,16258641920,0
999,1728618907655,865,853,1141,799,799,845,799,875,894,873,827,818,853,847,826,1932,800,799,805,801,799,799,830,801,799,819,877,807,800,800,800,823,4.95049524307251,2,0,2.97029709815979,1.0101009607315063,0.9900990128517151,0,0,1,0,0,1,1,0,1.0101009607315063,1,0,1,100,0,0,0,1,0,2,1.0101009607315063,0,0,0,0,0,0,247652.72589111328,64168.44104003906,0,404335505408,8589930496,16258875392,0
