Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728408304670,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,4.761904716491699,9.090909004211426,4.761904716491699,4.545454502105713,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,0,4.545454502105713,4.761904716491699,9.090909004211426,4.545454502105713,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,4.761904716491699,4.545454502105713,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,233944.93725585938,214322.3125,0,404335505408,8589930496,10424569856,0
999,1728408304670,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,4.761904716491699,9.090909004211426,4.761904716491699,4.545454502105713,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,0,4.545454502105713,4.761904716491699,9.090909004211426,4.545454502105713,4.761904716491699,4.761904716491699,4.761904716491699,4.545454502105713,0,4.761904716491699,4.545454502105713,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,233944.9493408203,214322.33660888672,0,404335505408,8589930496,10424741888,0
1000,1728408305670,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,78.57142639160156,35.71428680419922,35.398231506347656,36.60714340209961,37.71929931640625,37.16814041137695,37.16814041137695,33.92856979370117,35.71428680419922,29.203540802001953,37.16814041137695,43.859649658203125,36.60714340209961,37.5,25.89285659790039,30.35714340209961,30.973451614379883,34.513275146484375,37.16814041137695,99.10713958740234,36.60714340209961,37.16814041137695,37.16814041137695,38.938053131103516,34.513275146484375,36.842105865478516,75.22123718261719,35.71428680419922,84.07079315185547,32.14285659790039,36.036033630371094,37.16814041137695,233963.13592529297,214366.35076904297,0,404335505408,8589930496,10634616832,0
999,1728408306671,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,233984.46014404297,214409.59857177734,0,404335505408,8589930496,10659147776,0
999,1728408307671,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.9900990128517151,0,0,0,0,100,0,100,0,0,0,234005.70971679688,214453.14166259766,0,404335505408,8589930496,10659950592,0
999,1728408308671,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,100,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,234026.8973388672,214496.97918701172,0,404335505408,8589930496,10660081664,0
999,1728408309671,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,234048.17578125,214540.72729492188,0,404335505408,8589930496,10660225024,0
999,1728408310671,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,94.05941009521484,0,0,0,1.0204081535339355,5,0,0,6,0,1,0,0,38.613861083984375,1.0101009607315063,98,0,0,1,100,3,1,1.0204081535339355,0,1,0,62,0,2.0202019214630127,1.9801980257034302,1,0,234069.3735961914,214584.00811767578,0,404335505408,8589930496,10660413440,0
999,1728408311671,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,100,0,0,0,0,0,0,0,0,0,0,0,0,37,0,100,0,0,0,100,0,0,0,0,0,0,63,0,0,0,2.0202019214630127,1,234090.6987915039,214627.6304321289,0,404335505408,8589930496,10666205184,0
999,1728408312672,1250,1349,1102,1486,1177,1097,1419,1632,1508,1219,1280,1197,1278,1670,1218,1306,1238,2011,1226,1023,1702,1109,1145,1267,1773,1476,1709,1261,1189,1146,1171,1215,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,234111.94995117188,214671.51641845703,0,404335505408,8589930496,10666643456,0
