Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728407065183,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,0,0,0,0,4.761904716491699,4.545454502105713,4.545454502105713,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,0,0,4.545454502105713,4.545454502105713,0,0,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,4.545454502105713,0,207230.27178955078,145755.35583496094,0,404335505408,8589930496,10623524864,0
999,1728407065183,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,0,0,0,0,4.761904716491699,4.545454502105713,4.545454502105713,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,0,0,4.545454502105713,4.545454502105713,0,0,0,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,4.545454502105713,0,207230.2811279297,145755.37664794922,0,404335505408,8589930496,10623623168,0
1000,1728407066183,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,14.423076629638672,11.538461685180664,12.380952835083008,12.380952835083008,95.23809814453125,12.380952835083008,11.538461685180664,11.65048599243164,12.380952835083008,12.380952835083008,12.380952835083008,12.380952835083008,12.380952835083008,13.207547187805176,12.380952835083008,11.538461685180664,11.538461685180664,12.380952835083008,12.380952835083008,13.207547187805176,14.1509428024292,12.380952835083008,13.207547187805176,12.380952835083008,12.380952835083008,11.428571701049805,13.333333969116211,12.380952835083008,12.380952835083008,14.285715103149414,11.538461685180664,12.380952835083008,207239.40069580078,145782.36010742188,0,404335505408,8589930496,10682527744,0
999,1728407067183,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,1.0101009607315063,2,1,0,100,0,1,1.9801980257034302,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,5,0,0,1,3.9603960514068604,1,0,1,0.9900990128517151,207249.02697753906,145808.03369140625,0,404335505408,8589930496,10684960768,0
999,1728407068183,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0.9900990128517151,1,0,0,100,0,0,0,0.9900990128517151,0,1,0,0,0.9900990128517151,3.9603960514068604,2,0.9900990128517151,0.9900990128517151,0,0,0,0,0,0,0.9900990128517151,0.9900990128517151,0,0,0,0,0.9900990128517151,0,207258.38592529297,145833.2777709961,0,404335505408,8589930496,10686550016,0
999,1728407069184,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207267.7052001953,145858.38690185547,0,404335505408,8589930496,10687176704,0
999,1728407070184,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207276.95544433594,145883.4642944336,0,404335505408,8589930496,10687524864,0
999,1728407071184,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1.0101009607315063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0.9900990128517151,0,207286.22912597656,145908.53509521484,0,404335505408,8589930496,10687246336,0
999,1728407072184,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,207295.4119873047,145933.4702758789,0,404335505408,8589930496,10688462848,0
999,1728407073184,1082,799,800,801,2529,800,800,806,852,800,800,807,799,800,800,799,885,800,800,800,806,833,800,805,803,813,800,800,799,825,801,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207304.56549072266,145958.29333496094,0,404335505408,8589930496,10688548864,0
